AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
CR33	Basford Hall Coal Sidings	157.22 - 157.39	London Euston	nan
CR34	Basford Hall South Yard	157.26 - 157.47	London Euston	nan
CR35	Salop Goods Sidings	157.26 - 157.51	London Euston	nan
CR36	Crewe Wagon Shop	0.37 - 0.58	Crewe South Junction	nan
CR37	Crewe Brook Carriage Siding	157.03 - 157.20	London Euston	nan
CR38	Crewe Brook Carriage Siding	157.20 - 157.24	London Euston	nan
CR39	Crewe Down Holding Siding	157.43 - 157.73	London Euston	nan
CR40	Gresty Road Sidings	0.01 - 0.30	Gresty Lane Junction	nan
CR41	Gresty Up Sidings	0.62 - 1.12	Crewe South Junction	nan
CR42	Gresty Down Sidings	0.60 - 1.11	Crewe South Junction	nan
CR43	Hartford	170.48 - 170.77	London Euston	nan
CR44	Chatterley Valley Disposal	16.02 - 16.23	Macclesfield Hibel Road	nan
CR45	Longport Up Siding	16.43 - 17.05	Macclesfield Hibel Road	nan
CR46	Longport Down Siding	16.57 - 17.07	Macclesfield Hibel Road	nan
CR47	Basford Hall Down Sidings	156.69 - 157.21	London Euston	nan
CR48	Cockshute Siding	19.20 - 19.42	Macclesfield Hibel Road	nan
CR49	Stoke LNW Yard	19.48 - 19.62	Macclesfield Hibel Road	nan
CR50	Stoke Freight Terminal	19.17 - 19.60	Macclesfield Hibel Road	nan
CR51	Stoke Station Siding	19.18 - 19.71	Macclesfield Hibel Road	nan
CR52	Marcroft Wagon Repair Siding	21.01 - 21.43	Macclesfield Hibel Road	nan
CR53	Leek Brook Junction Siding	0.01 - 0.27	Leek Brook Junction	nan
CR54	Oakamoor British Industrial Sand	10.21 - 10.40	Uttoxeter	nan
CR55	Oxley Down Side	143.18 - 143.39	London Paddington	nan
CRA	Crayford: Spur A to Spur B Junctions	16.11 - 16.41	Charing Cross via Sidcup	nan
CRB	Cowbridge Road Junction to Bridgend	18.35 - 18.76	Barry Junction	Treated as part VOG
CRB	Moor Row to Cleator Moor	2.24 - 3.38	Mire House Junction	nan
CRC	Camden Road Junction to Camden Junction Line	see separate portions	nan	nan
CRC1	Camden Road Junction to Camden Road Viaduct	5.10 - 5.23	Broad Street	nan
CRC2	Camden Road Viaduct to Camden Junction	5.23 - 5.78	Broad Street	nan
CRD	Boundary with Talbot to St James Junction	113.49 - 114.40	nan	nan
CRE	Capledrae (Westfield) to Redford Junction Branch (Thornton)	27.28 - 33.04	Edinburgh Waverley	nan
CRF	Camden Road to Finsbury Park Curve (including Kings Cross Goods)	see separate portions	nan	nan
CRF1	Freight Terminal Junction to mileage change (Kings Cross Incline)	0.00 - 0.30	Copenhagen Junction (formerly known as Freight Terminal Junction)	Now part of NLI
CRF2	Mileage change to Camden Road Central Junction	4.45 - 4.64	Broad Street	Now part of NLI
CRF3	Kings Cross Yard	0.06 - 0.34	Freight Terminal Junction	nan
CRG	Commercial Road Goods Depot	0.00 - 0.27	Commercial Road Junction	nan
CRH	Cromer High Branch	23.29 - 24.03	Norwich	nan
CRI	Criggion Branch	0.00 - &ap;5.50	Kinnerley	nan
CRL	Clarbeston Road and Letterston Line	271.08 - 281.57	Paddington via Stroud	nan
CRN	Charlestown Branch	0.00 - 2.13	Elbowend Junction	nan
CRO	Crossfields Branch	2.24 - 3.38	Mire House Junction	nan
CRP	Corstorphine Branch	2.22 - 3.57	Haymarket West Junction	nan
CRR	Chester and Rock Ferry Line	see separate portions	nan	nan
CRR1	Chester West Junction to Hooton Junction	0.19 - 7.70	Chester	nan
CRR2	Hooton Junction to Rock Ferry Station	7.70 - 13.39	Chester	nan
CRS	Cardiff Riverside Branch	nan	nan	Now CFR
CRS	Cromer and Sheringham Branch	42.71 - 45.64	South Lynn Junction	nan
CRT	Coursington Branch	0.00 - 1.08	Shields Colliery Junction	nan
CRY	Cardiff Railway	0.00 - 9.28	Heath Junction	5.24 - 7.18 now in NAN
CRZ	Cawdor Branch	14.73 - &ap;16.13	Llandilo Junction	nan
CSB	Crowhurst Sidley and Bexhill West Line	57.59 - 62.15	Charing Cross via Chelsfield	nan
CSC	Cable Street Coal Depot (London Commercial Road)	?? - ??	nan	No apparent mileage, siding on up side of GER between Shadwell and Leman Street
CSD	Castleton Depot	7.72 - 8.64	Manchester Victoria	nan
CSF	Croes Newydd South Fork (Wrexham South Curve)	201.21 - 201.37	Paddington via Didcot	nan
CSG	Crewe Salop Goods Loop	156.26 - 157.55	Euston	nan
CSJ	Clifton South Curve (Clifton to Nanny Goat Junction)	?? - ??	nan	Links CGJ7 to EDE, approx 0.74 long
CSM	Chislehurst to St Mary Cray Line	see separate portions	nan	nan
CSM1	Chislehurst Junction to St Mary Cray Junction	11.33 - 11.71	Charing Cross	nan
CSM2	Chislehurst Junction to Hawkwood Junction	11.33 - 11.66	Charing Cross	nan
CSM3	Hawkwood Junction to St Mary Cray Junction	11.69 - 12.30	Charing Cross	nan
CSN	Cowlairs North Junction to East Junction Curve	0.00 - 0.21	Cowlairs East Junction	nan
CSP	Carstairs Curve	73.49 - 74.10	Carlisle via Carstairs (reverse)	nan
CSQ	Calstock Quay Branch	0.00 - 1.25	Branch junction	Sometimes SCQ used in error
CSS	Stonefield to Splott Junction (Cannon Street Goods)	0.00 - 0.65	Splott Junction	nan
CST	Carpenters Road North Junction to Stratford Central Junction West	0.00 - 0.29	Stratford Central Junction	nan
CSW	Coleford Branch (S&W)	nan	nan	Now CFS
CSW	Metropolitan Junction to Cannon Street South Junction	1.35 - 1.49	Charing Cross	nan
CSY	Chichester to Selsey Branch	0.00 - 7.40	Chichester	nan
CTA	Clifton Junction to Accrington Line	see separate portions	nan	nan
CTA1	Clifton Junction to Radcliffe North Junction	4.51 - 8.60	Manchester Victoria	nan
CTA2	Bury Loco Junction to Accrington North Junction	8.63 - 22.02	Manchester Victoria via Cheetham Hill Junction	nan
CTB	Colton Branch (Dunfermline)	0.00 - 0.28	Charleston Junction	nan
CTC	Cathcart Circle	0.00 - 5.19	Muirhouse North Junction	nan
CTD	Cadoxton and Trehafod Line	0.00 - 16.53	Cadoxton Junction	Formerly CTL
CTH	Colne Junction to Hythe Junction Curve	0.00 - 0.22	Colne Junction	nan
CTL	Cadoxton and Trehafod Line	nan	nan	Now CTD
CTL	Calder Bridge Junction to Turners Lane Junction Curve	0.00 - 0.50	Calder Bridge Junction	nan
CTL3	unknown	0.00 - 0.01	unknown	Not in GEOGIS but present in a structure maintenance system
CTM	Cheltenham Branch	2.70 - 7.03	Gloucester	Formerly CHE. 2.70 - 5.71 now 90.23 - 86.71 ex Derby in BAG2
CTP	Connington South Tip Sidings	66.61 - 67.55	Kings Cross	nan
CTR	Catrine Branch	0.00 - 1.34	Brackenhill Junction	nan
CTS	Coltness Branch	0.00 - 0.67	Morningside	North British Railway branch to Coltness Ironworks
CTY	City Link Line (Springburn to Pinkston Junction)	0.00 - 0.30	Cowlairs South Junction	Now PNS or ZZB5??
CUL	Culm Valley Branch	0.01 - 7.29	Culm Valley Branch Junction	nan
CUS	Cudworth Station Branch	52.71 - 53.63	Hull Alexandra Dock	nan
CUZ	Cwmcapel Branch	0.00 - 1.11	Burry Port Docks	nan
CVA	Calva to Buckhill	0.00 - 6.30	Calva Junction	Formerly SBL2
CVB	Cheddar Valley Branch	14.02 - 31.57	Witham East Somerset Junction	nan
CVL	Churnet Valley Line	0.00 - 27.28	Uttoxeter East Junction	nan
CVR	Cairn Valley Light Railway	0.00 - 15.51	Moniaive	nan
CVS	Chester South Junction to Chester North (or West) Junction	0.00 - 0.24	Chester West Junction	nan
CVZ	Carnarvon/Carnarfon Branch	0.44 - 1.08	Llandilo Junction	nan
CWB	Messers Cook and Co Works Branch	2.55 - 2.64	Treeton Junction	Cook's Tinsley Works at West Tinsley on Sheffield District line
CWD	Crewe Works Deviation	157.79 - 158.01	Euston	nan
CWE	Clayton West Branch	7.67 - 11.22	Huddersfield	nan
CWH	Cowdenbeath Branch	see separate portions	nan	nan
CWH1	Inverkeithing to Cowdenbeath	13.21 - 22.76	Edinburgh Waverley	nan
CWH2	Cowdenbeath to Lumphinnans	0.00 - 0.70	Cowdenbeath North Junction	nan
CWH3	Lumphinnans to Thornton South Junction	27.00 - 35.38	Edinburgh Waverley	nan
CWJ	Camden to Watford Junction Line (DC Electric Lines)	1.36 - 17.58	Euston	nan
CWK	Hamilton Square and West Kirby Line	see separate portions	nan	nan
CWK1	Hamilton Square to Mersey Tunnel	1.60 - 3.00	Liverpool Central Low Level	nan
CWK2	Mersey Tunnel to Bidston	3.00 - 4.40	Liverpool Central Low Level	nan
CWK3	Bidston to West Kirby	4.40 - 10.46	Liverpool Central Low Level	nan
CWL	Central Wales Line	see separate portions	nan	nan
CWL1	Junction with SHL to original zero point	20.01 - 20.12	Shrewsbury	nan
CWL2	Original zero point to Llandovery	0.00 - 59.14	Central Wales Junction	nan
CWM	Coopers Lodge Junction to Wimblebury Mine	?? - ??	nan	nan
CWN	Cockermouth and Workington Line	0.00 - 8.12	Cockermouth Goods station	nan
CWO	Cleator and Workington Line	0.00 - 10.06	Cleator Moor Junction	nan
CWP	Camden Washing Plant	&ap;1.03 - 1.36	Euston	nan
CWR	Cattewater Branch	0.43 - 1.64	Turnchapel Branch Junction	nan
CWS	Clipstone West Junction to South Junction Curve	10.66 - 11.04	Kirkby South Junction via Mansfield	nan
CWT	Caerwent Branch	0.00 - 3.29	Caerwent Branch Junction	nan
CWZ	Cwmbach Branch	22.00 - 22.52	Cardiff Bute Road	Part now ALK
CXL	Caldercruix Lower Branch	0.00 - 0.41	Caldercruix West signal box	Caldercruix Paper Mills branch
CYA	Cylla Branch	13.72 - 15.08	Cardiff East Dock	nan
CYC	Chinley Chord	167.55 - 168.32	St Pancras	nan
CYD	Chatham Dockyard Branch	0.00 - 2.43	Gillingham Junction	Formerly CDO
CYL	Crimea Yard Branch	0.71 - 1.38	Paddington	nan
CYM	Cymmer Junction Loop	11.11 - 11.32	Bridgend	Formerly CMR
CYW	Canterbury and Whitstable Line	70.34 - 76.41	Charing Cross via Chelsfield	nan
CYY	Scarborough Goods Lines	0.00 - 0.38	York Yard South Junction	Also known as Clifton York Yard, or as York Turning Triangle
CYZ	Clydach Loop	0.00 - 0.46	Felin Fran West Junction	Not completed
DAC	Exeter and Devonport Line (Devon and Cornwall Line)	173.50 - 230.13	Waterloo	Now includes SBX
DAE	Darlington and Eastgate-In-Weardale Line	see separate portions	nan	nan
DAE1	Darlington Park Gate Junction to Shildon South Junction	0.00 - 8.28	Park Gate Junction	nan
DAE2	Shildon South Junction to Wear Valley Junction mileage change	8.28 - 31.42	Park Gate Junction	nan
DAE3	Wear Valley Junction to Eastgate	0.00 - 15.79	Wear Valley Junction	nan
DAE4	Eastgate to Wearhead	15.79 - 22.03	Wear Valley Junction	nan
DAK	Dalry and Kilmarnock Branch	23.06 - 33.44	Bridge Street Station	nan
DAL	Dalmonach Branch	0.00 - 0.62	Jamestown Junction	nan
DAM	Dawsholm Branch	100.78 - 105.27	Carlisle?	nan
DAN	Danygraig Depot	46.22 - 46.71	Taff Vale Extension Junction	nan
DAP	Dalton Junction to Park South Junction Curve (Barrow avoiding line)	0.00 - 0.76	Dalton Junction	nan
DAS	Darvel and Strathaven Branch	nan	nan	nan
DAS1	Hurlford to Darvel (structure 45)	35.62 - 47.41	Bridge Street Station via Dalry	nan
DAS2	Darvel to Stonehouse junction with SML	47.41 - 54.27	Bridge Street Station via Dalry	nan
DAU	Daubhill Coal Branch (Rumworth & Daubhill)	8.16 - 8.66	Kenyon Junction	nan
DAW	Dawsholm Branch	?? - ??	nan	Kelvindale Paper Works siding
DAZ	Dare Branch/Cwmaman Branch	0.00 - 5.29	Gelli Tarw Junction	nan
DBA	Durham & Bishop Auckland Line	0.00 - 10.20	Bishop Auckland	nan
DBB	Denbigh Branch	0.00 - 18.55	junction with VOC near Denbigh	nan
DBK	Dumbuck Branch	0.00 - 0.21	Branch Junction	nan
DBM	Dunstable Branch Midland Region (Leighton Buzzard to Dunstable)	0.00 - 6.67	Leighton Buzzard	nan
DBN	Dumbarton South Goods Depot Branch	115.56 - 116.02	Carlisle via Rutherglen Glasgow Central Low Level and Old Kilpatrick	nan
DBP	Derby to Birmingham (Proof House Junction) Line	see separate portions	nan	nan
DBP1	Derby to Kingsbury Junction	0.00 - 29.39	Derby	nan
DBP2	Kingsbury Junction to Water Orton	29.39 - 33.23	Derby	nan
DBP3	Whitacre Junction to Proof House via Water Orton	31.69 - 41.59	Derby via Whitacre Junction	nan
DBS	Dudley Hill (Barrets Siding)	?? - ??	nan	nan
DBZ	Dimbath Branch	0.00 - &ap;0.77	Dimbath Junction	Never completed
DCB	Dundonald Colliery Branch (Cardenden)	0.00 - 1.02	Glencraig Junction	nan
DCF	Down Cambridge Flyover	32.53 - 34.05	Kings Cross	nan
DCG	Dalry Connecting Branch	0.46 - 1.04	Princes Street	nan
DCL	Didcot and Chester Line	53.00 - 143.01	Paddington via Didcot	nan
DCW	Dawsholm Castle Chemical Works Branch (Glasgow Maryhill Park)	?? - ??	nan	nan
DDB	Devonport Dockyard Branch	&ap;247.42 - 249.40	Paddington via Box and Plymouth Millbay (reverse)	Formerly DYK
DDF	Dundee Broughty Ferry to Forfar North Junction Line	0.39 - 17.43	Broughty Ferry Pier	nan
DDN	Dundee Ninewells Junction to Ardler Junction Line	0.00 - 16.13	Ninewells Junction	nan
DDS	Dr Day's Sidings	0.26 - 0.47	Bristol Temple Meads	nan
DDY	Doncaster Down Yard	154.13 - 155.28	Kings Cross	nan
DEB	Deanside Branch	0.00 - 0.38	Junction with CND1	nan
DEC	Didcot East Curve	52.69 - 53.71	Paddington	nan
DEE	Chapeltown Branch	166.02 - 166.36	St Pancras	nan
DEH	Delph Branch	0.00 - 1.52	Greenfields Junction	nan
DEL	Delburn Branch	0.00 - 1.21	Motherwell South Junction	nan
DEM	Denham and Uxbridge Branch	0.00 - 2.03	Denham West Junction	Formerly DUX
DEN	Denaby Branch	0.00 - 11.43	Wrangbrook Junction	nan
DER	Derwent Branch	4.13 - 10.16	Maryport with reversal at Bulgill	nan
DET	Dechmont Briquette Works Branch (Newton)	0.00 - 1.67	Newton	70c to Dechmont Colliery, a further 77c to Loanend Colliery
DEU	Delburn Branch	0.00 - 0.40	Motherwell South Box	Branch serving Delburn Engineering Works and Glasgow Rolling Stock Works
DEW	Dewshill Branch	0.00 - 2.25	Dewshill Branch Junction	Off Salsburgh branch Caledonian Railway
DEX	Derbyshire Extension Branch	123.72 - 154.51	Kings Cross	Part formerly NGC2
DEY	Denny Branch	0.00 - 3.07	Denny Branch (North) Junction	nan
DFD	Dover Ferry Dock Junction to Dover Old Train Ferry Dock (Dover Pier Goods Branch)	77.72 - 78.03	Victoria via Herne Hill	nan
DFN	Dufftown Branch (Keith)	53.05 - 64.13	Aberdeen	nan
DFS	Dingwall Fodderty Junction to Strathpeffer Line	2.31 - 5.19	Dingwall	nan
DGB	Deansgate Goods Branch	0.00 - 0.26	Castlefield Junction	nan
DGD	Devonport (Kings Road) Goods Branch	0.00 - 0.21	Devonport Goods Junction	nan
DGL	Durham Goods (Belmont) Branch	0.00 - 2.19	Belmont Junction	nan
DGW	Dalmarnock Gasworks Branch (Glasgow London Road/Bridgeton Goods)	?? - ??	nan	nan
DGZ	Devonport (Albert Road) Goods Branch	248.22 - 248.43	Paddington via Box, Plymouth Millbay (reverse) and Devonport (reverse)	nan
DHB	Darras Hall Branch	0.00 - 1.21	Ponteland Junction	nan
DHF	Denbigh Hall Flyover	0.68 - 1.71	Bletchley Flyover Junction	nan
DIC	Dinnington Colliery Branch	3.16 - 4.27	Brancliffe East Junction	nan
DIG	Digby Branch	127.69 - 128.39	St Pancras via Toton	nan
DIL	Dillichip Branch	0.00 - 0.29	Alexandria Junction	nan
DIY	Diggle Colliery Branch	0.00 - 0.70	Pennington South Junction	West Leigh Junction to Diggle Colliery
DJD	Denton Junction to Dukinfield Line	4.13 - 5.19	Heaton Norris Junction	nan
DJH	Daisyfield Junction and Hellifield Line	11.09 - 34.66	Farington Curve Junction	nan
DJL	Dolphinton Junction to Leadburn Branch [Caledonian route]	0.00 - 10.76	Dolphinton Junction	nan
DJL1	Dolphinton Junction to Leadburn Branch [North British route]	0.00 - 9.72/20.56	Leadburn Junction	nan
DJM	Dubton to Montrose Branch	0.00 - 2.79	Dubton Junction	nan
DJN	Duckmanton No 7 Railway	0.10 - 0.20	nan	Duckmanton North Junction to Duckmanton East Junction
DJO	Denton Junction to OA&GB Junction Spur	see separate portions	nan	nan
DJO1	Denton Junction to Crowthorne Junction	4.10 - 5.28	Heaton Norris Junction	nan
DJO2	Crowthorne Junction to OA&GB Junction	0.53 - 1.50	Stockport Junction, Guide Bridge	nan
DJP	Dovey Junction to Pwllheli	78.60 - 132.70	Whitchurch	Briefly also marked in km from Sutton Bridge Junction; ERTMS signalling system still uses km
DJR	Duckmanton No 8 Railway	?? - ??	nan	nan
DJR1	Duckmanton No 6 Railway	?? - ??	nan	Duplicates DMJ
DJR2	Duckmanton No 7 Railway	?? - ??	nan	Duplicates DJN
DJW	Duffield Junction to Wirksworth Quarry Branch	132.79 - 142.26	St Pancras	nan
DKS	Various Docks lines	see separate portions	nan	nan
DKS1	Newport Alexandra Docks	nan	nan	Code only used to identify 'Docks'
DKS2	Cardiff Docks	nan	nan	Code only used to identify 'Docks'
DKS3	Barry Docks	nan	nan	Code only used to identify 'Docks'
DKS4	Port Talbot Docks	nan	nan	Code only used to identify 'Docks'
DKS5	Swansea Docks	nan	nan	Code only used to identify 'Docks'
DKS6	Millbay Docks/Plymouth Docks Branch	nan	nan	Code only used to identify 'Docks'
DLA	Dowlais Loop	0.00 - 0.17	Dowlais Loop Junction	Formerly DLZ1
DLB	Barrow Dock Loop	0.00 - 0.20	St Lukes Junction	nan
DLN	Dalmellington Branch	52.70 - 54.49	Bridge Street Station via Dalry	nan
DLO	Darnall Depot	0.00 - 0.70	Woodburn Junction	nan
DLR	Dunure Light Railway	42.26 - 62.01	Bridge Street Junction	nan
DLS	Duddeston Junction to Lawley Street Sidings Branch	40.38 - 41.19	Derby	nan
DLT	Duffryn Llynvi and Porthcawl Tramway	?? - ??	nan	nan
DLY	Dursley Branch	105.38 - 108.02	Derby	nan
DLZ	Dowlais Loop	25.58 - 25.75	Abergavenny Junction	Formerly DLZ2
DLZ	Dowlais Loop	see separate portions	nan	nan
DLZ1	Dowlais Loop	nan	nan	Now DLA
DLZ2	Dowlais Top Junction	nan	nan	Now DLZ
DMB	Douglas and Muirkirk Branch	0.00 - 19.20	Smyllum East Junction	nan
DMJ	Duckmanton No 6 Railway	0.18 - 0.21	Duckmanton South Junction	nan
DML	Dinas Mawddwy Light Railway/Mawddwy Branch	0.00 - 6.63	Cemmes Road	nan
DMP	Dewsbury Market Place Branch	41.14 - 42.29	Manchester Victoria via Rochdale	nan
DMY	Dalmeny Line (Winchburgh to Dalmeny)	34.53 - 39.06	Glasgow Queen Street High Level	nan
DNB	Dornoch Branch	0.00 - 7.51	The Mound Junction	nan
DNC	Derby North Curve	128.10 - 128.33	St Pancras	nan
DNG	Drinnick Mill Goods Branch	291.31 - 291.60	Paddington via Box and Plymouth Millbay (reverse)	nan
DNJ	Dalry and North Johnstone Line	0.00 - 11.60	Cart Junction	nan
DNS	Dunston Staithes (New Side) Branch	0.00 - 0.70	Norwood Junction	nan
DNT	Darlington to Tebay Line	0.00 - 49.75	Hopetown Junction	nan
DOA	Doura Branch	0.30 - 5.50	Dubbs Junction	nan
DOC	King's Lynn Docks Branch	0.00 - 0.45	junction with KLY	nan
DOE	Doe Lea Branch and Extension	0.00 - 2.41	Pleasley Colliery West Junction	nan
DOG	(Former) Loco Sidings under Dog's Home Viaduct	1.00 - 1.23	nan	nan
DOI	Deans Oil Works Branch	0.00 - 0.20	13ch west of Livingston station	nan
DOK	Dock Storage South Junction to Kings Junction	4.26 - 5.60	Roath Branch Junction	Now in ROA
DOL	Doncaster and Leeds Line	see separate portions	nan	nan
DOL1	Doncaster Marshgate Junction to Wakefield 175m 32ch	156.28 - 175.32	Kings Cross	Note that the 1967 rebuilding at Leeds makes it difficult to give exact definitions for this line
DOL2	Wakefield 175m 32ch to Leeds	175.32 - 185.70	Kings Cross	Extended in 2001 from 185.05. Now includes DOL3 and LWW. Note that the 1967 rebuilding at Leeds makes it difficult to give exact definitions for this line
DOL3	Closed Line	185.03 - 185.57	Kings Cross	Now in DOL2. Note that the 1967 rebuilding at Leeds makes it difficult to give exact definitions for this line
DOL4	Gelderd Road Junction to Leeds West Junction	40.76 - 42.47	Manchester Victoria via Huddersfield	Note that the 1967 rebuilding at Leeds makes it difficult to give exact definitions for this line
DOV	Dovecliffe Colliery Branch	9.76 - 13.77	Woodend Junction Sheffield	off SMC
DOW	Dowlais Works Branch	?? - ??	Dowlais Works Junction	nan
DOW	Doncaster and Wrawby Junction Line	0.00 - 33.34	Doncaster Marshgate Junction	nan
DPB	Dowlais Pits Branch	15.46 - 15.72	Cardiff Bute Road	nan
DPH	Dyce to Peterhead Branch	6.07 - 44.22	Aberdeen	nan
DPJ	Dudley Junction to Pleck Junction Line	0.00 - 5.42	Dudley Junction	nan
DPS	Didcot Power Station	0.000km - 3.127km	Foxhall Junction	nan
DPZ	Dartmoor and Plymouth Railway	243.15 - 245.21	Paddington	= Lee Moor Tramway ??
DQB	Dunduff Quarry Branch	0.00 - 2.20	Blackwood (Lanarkshire)	nan
DQN	Dalquhurn Branch	17.46 - 18.21	Glasgow Queen Street High Level via Cowlairs and Maryhill	nan
DRA	Drax Power Station Branch	see separate portions	nan	nan
DRA1	Drax Power Station Approach Tracks	0.00 - 4.40	Drax Branch Junction	nan
DRA2	Drax Power Station MGR Loop	4.40 - 6.23	Drax Branch Junction	nan
DRF	Drumbowie Fork	0.00 - 0.26	Bellside Junction	nan
DRM	Drumpeller Branch	0.00 - 0.19	Drumpeller Railway Junction	nan
DRN	Waterloo and City Line	0.00 - 1.46	Waterloo	The Drain
DRO	Droppingwell Colliery Branch	0.00 - 1.72	Grange Lane	nan
DRS	Dewsbury Railway Street Goods Yard Branch	see separate portions	nan	nan
DRS1	Dewsbury East Junction to 0m 14ch	0.00 - 0.14	Dewsbury East Junction	nan
DRS2	Dewsbury 0m 14ch to mileage change	0.14 - 0.27	Dewsbury East Junction	nan
DRS3	Mileage change to Dewsbury Railway Street Goods Yard	0.00 - 0.76	Mileage change	nan
DRT	Dalricket Branch	0.00 - 2.31	Creach Junction	From Knockshinnoch Colliery Branch, New Cumnock
DRU	Drumbowie Branch	0.00 - 4.59	Drumbowie Junction	nan
DSB	Dumfries Branch	0.00 - 14.40	Lockerbie Junction	nan
DSC	Douglas Colliery Branch	?? - ??	Douglas station	nan
DSD	Dinting South Junction to Dinting East Junction Curve	0.72 - 1.05	Glossop	nan
DSE	Deal Street and Edge Hill Line	1.57 - 31.12	Liverpool Lime Street	nan
DSF	Denver to Stoke Ferry Line	1.56 - 8.65	Downham Market	nan
DSK	Denny South Fork	108.77 - 109.24	Carlisle via Ravenscraig No 1	nan
DSN	Darlington and Saltburn Line	see separate portions	nan	nan
DSN1	Darlington South Junction to Eaglescliffe South Junction	0.29 - 8.58	Darlington	8.58 - 10.13 is LEN3
DSN2	Stockton Cut Junction to Redcar mileage change	10.13 - 21.72	Darlington	8.58 - 10.13 is LEN3 (some structures carry both references)
DSN3	Redcar mileage change to Saltburn	22.16 - 27.57	Darlington	nan
DSN4	Saltburn to former end of line	27.57 - 27.62	Darlington	nan
DSO	Dunston Staithes (Old Side) Branch	0.00 - 0.72	Norwood Junction	nan
DSS	Down Side Sidings, Euston	0.29 - 0.49	Euston	nan
DST	Dewsbury Saville Town Branch	185.44 - 188.07	St Pancras	nan
DSW	Springburn Branch (Springburn to Barnhill)	102.58 - 103.46	Carlisle via Whifflet	Included within CBD2
DSY	Down Sidings, Westbury	109.70 - 110.13	Paddington via Melksham	nan
DTD	Dufftown Distillery (Mortlach) Branch	?? - ??	nan	nan
DTE	Dufftown to Elgin via Craigellachie Line	64.13 - 80.24	Aberdeen	nan
DTL	Derby to Leeds Line	194.37 - 195.01	St Pancras	Hunslet Goods Junction to Hunslet Lane Goods
DUB	Dunyston Colliery Branch	4.54 - 5.76	Drumbowie Junction	From Dunsyston Junction
DUH	Dudley Hill Branch	190.57 - 192.33	Kings Cross via Birkenshaw Line	nan
DUN	Dunball Wharf Branch	148.77 - 149.33	Paddington via Box	nan
DUR	Durston Loop	135.02 - 137.29	Paddington via Melksham	nan
DUX	Denham and Uxbridge Branch	nan	nan	Now DEM
DUY	Decoy Yard (Doncaster Up Yard)	153.69 - 155.34	Kings Cross	nan
DVA	Dearness Valley Branch	?? - ??	nan	nan
DVB	Dare Valley Branch	23.65 - 26.20	Cardiff Bute Road	nan
DVL	Darvel Branch	35.62 - ??	Glasgow Bridge Street via Dalry	nan
DVR	Dearne Valley Railway	see separate portions	nan	nan
DVR1	Crofton West Junction to Bessacarr Junction	49.49 - 71.51	Manchester Victoria	nan
DVR2	unknown	?? - ??	nan	nan
DVR3	Spur	70.00 - 70.58	Manchester Victoria	nan
DWC	Didcot West Curve	0.00 - 0.33	Foxhall Junction	nan
DWF	Deptford Wharf	0.00 - 1.43	New Cross Gate	Substructures. Listed to 2.47
DWS	Dore West Junction to Dore Station Junction Curve	0.00 - 0.60	Dore West Junction	nan
DWW	Dalston Kingsland Hackney Wick and North Woolwich Line	see separate portions	nan	nan
DWW1	Dalston Junction to Navarino Road	1.52 - 2.22	Broad Street, extended back from Dalston Western Junction	Line remiled from 15 June 1986 to give continuous mileage run
DWW2	Navarino Road to North Woolwich	1.11 - 8.57	Liverpool St, extended back from Stratford South Junction	Line remiled from 15 June 1986 to give continuous mileage run
DWY	Doncaster Wood Yard	154.52 - 155.08	Kings Cross	nan
DYK	Devonport Dockyard Branch	nan	nan	Now DDB
DYK	Dykehead Branch	0.00 - 4.19	Dykehead Branch Junction	nan
DYL	Dykehead Loop	0.00 - 0.36	Langdale Exchange Sidings, Greengairs	To Dykehead branch at 3.06
DYZ	Dynevor Junction to Cardonnel East Junction	19.23 - 19.44	R&SB Junction	nan
EAR	Earnock Branch	0.00 - 0.52	Earnock Sidings	nan
EAT	Eaton Branch	3.34 - 6.53	Scalford Junction	nan
EAZ	Eardisley Branch	0.00 - 6.75	Eardisley Branch Junction	nan
EBB	Exeter Basin Branch	0.00 - 0.34	Exeter Basin Junction	nan
EBD	Ellon to Boddam Branch	19.52 - 34.22	Aberdeen	nan
EBL	Elderslie Burrowing Line	0.00 - &ap;0.58	Elderslie Junction ??	= Elderslie Junction to Cart Junction
EBO	Essendine to Bourne Line	0.00 - 6.53	Essendine	nan
EBR	East Benhar Branch	0.00 - 2.09	Crofthead Junction	nan
EBU	Evercreech and Burnham Branch	0.00 - 24.04	Evercreech Junction	nan
EBW	Ebbw Vale Branch	14.20 - 21.06	Courtybella	nan
ECA	Edinburgh and Carstairs Line	see separate portions	nan	nan
ECA1	Carstairs South Junction to East Junction	73.17 - 73.48	Carlisle	nan
ECA2	Carstairs East Junction to Slateford Junction	74.10 - 99.01	Carlisle via Carstairs (reverse)	nan
ECA3	Slateford Junction to Haymarket East Junction	99.01 - 100.41	Carlisle via Carstairs (reverse)	nan
ECB	Elsecar Colliery Branch	?? - ??	nan	nan
ECC	Eccleston Branch	0.00 - 1.06	Eccleston Branch Junction	Near Marshs Crossing on the Ravenhead Branch, St Helens
ECG	Exeter Central Goods Branch	171.08 - 171.39	Waterloo	Now in BAE2
ECH	unknown	see separate portions	nan	nan
ECH1	unknown	65.70 - 162.14	unknown	Not in GEOGIS but present in a structure maintenance system
ECH2	unknown	145.67 - 149.15	unknown	Not in GEOGIS but present in a structure maintenance system
